model,theoretical_inference_complexity,empirical_scaling,fitted_exponent,latency_us_per_sample_at_8000,throughput_pred_per_sec_at_8000,time_ms_at_8000
Logistic Regression,O(m),O(n^0.391),0.3905599750060381,0.19210500001918263,5205486.582338539,1.536840000153461
XGBoost,O(T*depth),O(n^0.188),0.18752169556252682,0.5732487500040405,1744443.4026117832,4.585990000032325
Random Forest,O(T*depth),O(n^0.076),0.07556903159550506,10.814080000000104,92472.03645617476,86.51264000000083
MLP,O(sum layer multiplications),O(n^0.315),0.3148957706885526,88.7361224999836,11269.367781989627,709.8889799998688
KNN,O(n_train*m),O(n^0.641),0.6411305464669096,112.22598124999195,8910.592617340753,897.8078499999356
LSTM,O(seq_len*(h^2+h*m)),O(n^0.463),0.46256337826850147,136.87016124998763,7306.194358707167,1094.961289999901
SVM,O(n_sv*m),O(n^0.961),0.9611262250624313,208.54620500000465,4795.100443088752,1668.3696400000372
CNN,O(conv_ops),O(n^0.468),0.4682262267552929,251.26263124997192,3979.899418489878,2010.1010499997756
