model,batch_size,mean_time_sec,std_time_sec,time_ms,latency_us_per_sample,throughput_pred_per_sec
Random Forest,50,0.0590058499999941,0.005721492220547524,59.0058499999941,1180.1169999998822,847.3736078711687
Random Forest,100,0.05140981999984433,0.01478596789566899,51.40981999984433,514.0981999984433,1945.1536690909015
Random Forest,250,0.06369038999991972,0.014173935537100005,63.69038999991972,254.76155999967884,3925.238956776919
Random Forest,500,0.05313783999981751,0.006764375617026682,53.137839999817515,106.27567999963503,9409.490487413812
Random Forest,1000,0.06328207999995357,0.008545869374468534,63.28207999995357,63.28207999995357,15802.261872566984
Random Forest,2000,0.06701421000007031,0.009759712201473772,67.0142100000703,33.50710500003515,29844.416579676184
Random Forest,4000,0.07121610000012879,0.0152992281886611,71.21610000012879,17.804025000032198,56167.07457994423
Random Forest,8000,0.08651264000000083,0.0087136859159719,86.51264000000083,10.814080000000104,92472.03645617476
Logistic Regression,50,0.00024317000006703892,0.0001404550896263857,0.24317000006703893,4.8634000013407785,205617.46920350217
Logistic Regression,100,0.00017341000002488727,1.6953256370146834e-05,0.17341000002488727,1.7341000002488727,576668.0121426003
Logistic Regression,250,0.00027340000015101394,0.00016375896905634272,0.27340000015101396,1.0936000006040558,914411.11873413
Logistic Regression,500,0.00033040000016626436,0.00022572387113414794,0.33040000016626436,0.6608000003325287,1513317.1905217592
Logistic Regression,1000,0.0003236000000470085,0.0001672418008830282,0.3236000000470085,0.32360000004700856,3090234.8574002865
Logistic Regression,2000,0.0003833100001429557,0.00010627209839873597,0.3833100001429557,0.19165500007147784,5217708.902074297
Logistic Regression,4000,0.001306890000068961,0.00022050830124016428,1.306890000068961,0.32672250001724024,3060701.3595550745
Logistic Regression,8000,0.001536840000153461,0.00037128627294083565,1.536840000153461,0.19210500001918263,5205486.582338539
SVM,50,0.013266939999994065,0.0013795023133771755,13.266939999994065,265.3387999998813,3768.7665731526913
SVM,100,0.023237319999952887,0.0027930906753446585,23.237319999952888,232.37319999952888,4303.422253521609
SVM,250,0.05101556999998138,0.009078285409087433,51.01556999998138,204.0622799999255,4900.46470126848
SVM,500,0.09790837999998984,0.0072079038916951456,97.90837999998985,195.8167599999797,5106.815167404995
SVM,1000,0.21091927000006763,0.01166098742988572,210.91927000006763,210.91927000006763,4741.150488524256
SVM,2000,0.4204029599998648,0.04997881034702336,420.40295999986483,210.20147999993242,4757.3404335703135
SVM,4000,0.796705430000111,0.062274447304669474,796.7054300001109,199.17635750002773,5020.676211532088
SVM,8000,1.6683696400000372,0.055724528753814694,1668.3696400000372,208.54620500000465,4795.100443088752
KNN,50,0.032970230000046286,0.005112804517676593,32.970230000046286,659.4046000009257,1516.519599648829
KNN,100,0.047832840000046416,0.006523644477921289,47.83284000004642,478.32840000046417,2090.613896224915
KNN,250,0.04797774999997273,0.004958449717445267,47.97774999997273,191.91099999989092,5210.748732488332
KNN,500,0.07915125999998054,0.008977595153085624,79.15125999998054,158.30251999996108,6317.0188320454145
KNN,1000,0.13222599999990053,0.008441318187813636,132.22599999990052,132.22599999990055,7562.809129828871
KNN,2000,0.2278980699998101,0.007050191921692505,227.8980699998101,113.94903499990505,8775.853169803791
KNN,4000,0.4384969999998248,0.007979337126943528,438.49699999982477,109.62424999995619,9122.069250192359
KNN,8000,0.8978078499999356,0.02279299236785963,897.8078499999356,112.22598124999195,8910.592617340753
XGBoost,50,0.0016401400001996081,8.646141578826372e-05,1.640140000199608,32.80280000399217,30485.202479004784
XGBoost,100,0.0019446299999799522,0.00019620659552428284,1.9446299999799521,19.44629999979952,51423.6641422949
XGBoost,250,0.0021918600000390143,0.0005033527632678395,2.1918600000390143,8.767440000156057,114058.37963900527
XGBoost,500,0.002007509999930335,0.0003363574987809339,2.0075099999303347,4.01501999986067,249064.76182801137
XGBoost,1000,0.001650929999868822,0.00035436794167848087,1.650929999868822,1.650929999868822,605719.2007410714
XGBoost,2000,0.0020778400000381224,0.00030284586574615336,2.0778400000381225,1.0389200000190613,962538.0202341401
XGBoost,4000,0.005017850000058388,0.0020657307085403063,5.017850000058388,1.254462500014597,797154.1596407735
XGBoost,8000,0.004585990000032325,0.0007820971069755464,4.585990000032325,0.5732487500040405,1744443.4026117832
CNN,50,0.165078209999956,0.019420175496984434,165.07820999995602,3301.56419999912,302.8867347181274
CNN,100,0.1844346899996708,0.02843766620356448,184.4346899996708,1844.346899996708,542.1973491005325
CNN,250,0.19321977999998124,0.021232351649171085,193.21977999998126,772.879119999925,1293.863392247027
CNN,500,0.23746904000008726,0.022558815455437458,237.46904000008726,474.9380800001745,2105.537631346875
CNN,1000,0.3416517300000123,0.01994084415387514,341.6517300000123,341.6517300000123,2926.9572262958072
CNN,2000,0.5647278300000835,0.09303062421635697,564.7278300000835,282.36391500004174,3541.529022927211
CNN,4000,0.8736245599998256,0.045269274778883,873.6245599998256,218.4061399999564,4578.625857314266
CNN,8000,2.0101010499997756,0.4726243066853293,2010.1010499997756,251.26263124997192,3979.899418489878
LSTM,50,0.109330030000001,0.013814662758101582,109.33003000000099,2186.60060000002,457.3308906985532
LSTM,100,0.0953674400001546,0.009972019233362437,95.3674400001546,953.6744000015459,1048.5759080860082
LSTM,250,0.13209193000002414,0.02338370676194989,132.09193000002415,528.3677200000966,1892.621297909375
LSTM,500,0.14561458999987736,0.019188439656815725,145.61458999987735,291.22917999975476,3433.721854385753
LSTM,1000,0.20188677999985885,0.020990720590767526,201.88677999985885,201.88677999985887,4953.271333569733
LSTM,2000,0.33992271999995866,0.02765424423786388,339.92271999995864,169.96135999997935,5883.69026936547
LSTM,4000,0.5946174899998369,0.058025559756796775,594.6174899998368,148.65437249995924,6727.013697496684
LSTM,8000,1.094961289999901,0.12189749598014767,1094.961289999901,136.87016124998763,7306.194358707167
MLP,50,0.13799201999991056,0.025512504471588527,137.99201999991055,2759.840399998211,362.33979327233857
MLP,100,0.1289306800000304,0.023330455539120845,128.9306800000304,1289.306800000304,775.6105839197963
MLP,250,0.1471173399998406,0.021571570477892335,147.11733999984062,588.4693599993625,1699.3238186625101
MLP,500,0.18125561000006202,0.010603491693882547,181.255610000062,362.51122000012407,2758.5353082303436
MLP,1000,0.21222565000007307,0.03571821960186509,212.22565000007307,212.22565000007307,4711.965777933326
MLP,2000,0.2964489300000423,0.04698435116699452,296.4489300000423,148.22446500002115,6746.524603747818
MLP,4000,0.3991122099999302,0.033493336714208954,399.1122099999302,99.77805249998255,10022.244120270587
MLP,8000,0.7098889799998688,0.042008662391595696,709.8889799998688,88.7361224999836,11269.367781989627
